fecha,afluencia
2010-10-18,4914754
2010-10-19,4977117
2010-10-20,4962034
2010-10-21,4961204
2010-10-22,4944562
2010-10-23,4188254
2010-10-24,2621615
2010-10-25,4826476
2010-10-26,4948701
2010-10-27,5060155
2010-10-28,5225186
2010-10-29,5002445
2010-10-30,4061269
2010-10-31,2684455
2010-11-01,3891917
2010-11-02,2890193
2010-11-03,4771217
2010-11-04,4956821
2010-11-05,5066669
2010-11-06,3997212
2010-11-07,2458583
2010-11-08,4728693
2010-11-09,4884366
2010-11-10,4893974
2010-11-11,5099041
2010-11-12,5238240
2010-11-13,4212516
2010-11-14,2734158
2010-11-15,2993315
2010-11-16,4871369
2010-11-17,5036290
2010-11-18,5233219
2010-11-19,5229082
2010-11-20,4086014
2010-11-21,2736512
2010-11-22,4901362
2010-11-23,4996138
2010-11-24,5160181
2010-11-25,5140620
2010-11-26,5237276
2010-11-27,4208074
2010-11-28,2850181
2010-11-29,4862020
2010-11-30,5088513
2010-12-01,5136140
2010-12-02,4985546
2010-12-03,5203857
2010-12-04,4299830
2010-12-05,2798544
2010-12-06,4764664
2010-12-07,5003353
2010-12-08,4975397
2010-12-09,5078625
2010-12-10,5192893
2010-12-11,4419105
2010-12-12,2866599
2010-12-13,4680375
2010-12-14,4865350
2010-12-15,4877843
2010-12-16,4888875
2010-12-17,4974528
2010-12-18,4204688
2010-12-19,3062941
2010-12-20,4810084
2010-12-21,4685875
2010-12-22,4678467
2010-12-23,4656351
2010-12-24,3576200
2010-12-25,1824678
2010-12-26,2247382
2010-12-27,4003442
2010-12-28,4085624
2010-12-29,4195907
2010-12-30,4282717
2010-12-31,3362741
2011-01-01,1544265
2011-01-02,2609379
2011-01-03,4958860
2011-01-04,4511798
2011-01-05,4558182
2011-01-06,3962544
2011-01-07,4329919
2011-01-08,3798123
2011-01-09,2460826
2011-01-10,5203771
2011-01-11,4425387
2011-01-12,4304536
2011-01-13,4251712
2011-01-14,4803714
2011-01-15,4265566
2011-01-16,2629641
2011-01-17,5568859
2011-01-18,4645329
2011-01-19,4380005
2011-01-20,4273884
2011-01-21,4523817
2011-01-22,3996433
2011-01-23,2488281
2011-01-24,5325857
2011-01-25,4576238
2011-01-26,4443054
2011-01-27,4356202
2011-01-28,5040927
2011-01-29,4296747
2011-01-30,2669916
2011-01-31,6127979
2011-02-01,5138877
2011-02-02,4609400
2011-02-03,4433246
2011-02-04,4647416
2011-02-05,3976723
2011-02-06,2373075
2011-02-07,2844320
2011-02-08,5256251
2011-02-09,4592114
2011-02-10,4477422
2011-02-11,4710603
